Artist,Album,Song,Year
Just Jinjer ,Just Jinjer,What He Means,2006
Kabaal Klankbaan,Dit Wat Oorgebly Het,Verlief op 'n Ondier,2012
Kahn Morbee,Salt,Days Like This,2015
Kalahari Surfers,Akasic Record,Gangsta,2001
Kalahari Surfers,Sleep Armed,Remember the Corporals,1988
Karen Zoid,Postmodern World,Aeroplane Jane,2007
Karen Zoid,Media,Small Room,2004
Karen Zoid,Chasing the Sun,Deurmekaar,2002
Karma,One Day Soon,Tuesday Afternoon,1998
Karoo,Sticks and Stones,Mission Impossible,1996
Kerels,Chrome Sweet Chrome,Pampoensop,1995
Kidofdoom,Kidofdoom,Space Walk,2007
"Kiffness, The",Kiff,Find a Way,2014
Klopjag,5,Skree!,2007
Klopjag,15de Laan,N1 Roete,2004
Kobus,100% Skuldgevoelvry,Kultuurfeestent,2004
Kobus,Kobus,Hoenderman,2002
Kobus,Swaarmetaal,Teenage Angst,2007
Kongos,Lunatic,Come With Me Now,2012
Kongos,Egomaniac,Repeat After Me,2016
Koos du Plessis,Sprokie vir 'n Stadskind,Kinders van die Wind,1979
Koos du Plessis,Herbergier,Vermiste Mense,1982
Koos Kombuis,Elke Boemelaar se Droom ,Lisa se Klavier,1994
Koos Kombuis,Niemandsland and Beyond,Bomskok Babelaas,1989
Koos Kombuis,Equilibrium,Sestien Jaar met 'n Vals Kitaar,2002
Krushed & Sorted,Acid Made Me Do It,King of The Swingers,2000
LA Cobra,Shotgun Slinger,Sell Your Soul,2017
Lark,Mouth of Me,Moonlight,2006
Lark,Razbliuto!,Spiders Eye,2012
Late Night Fox,Late Night Fox,Hugh Masekela,2012
Laurie Levine,Canyons,Canyons,2017
Laurie Levine,Six Winters,Six Winters,2011
Led,Last Evening's Dreams,Boy From Apricot Spells,1996
Leek and the Bouncing Uptones,Roll the Dice,Roll the Dice,2001
Les Javan,Ek Is Lief Vir Jou,Met Jou Aan My Sy,2012
Liela Groenewald,Horison,Oppikoppi,2013
Lithium,Broken,More Than Life,1995
Lithium,Zenon Supertroopers,Stampede Stanley,1998
Little Sister,Along The Way,,1993
Locnville,Sun in my Pocket,Sun in my Pocket,2010
Lonehill Estate,Take It All,Skyward,2005
Louise Carver,Silent Scream,Empty Fantasy,2005
Lucky Dube,House of Exile,House of Exile,1991
Lucky Dube,Taxman,We Love It,1997
Lucy Kruger & The Lost Boys,Sleeping Tapes For Some Girls,The Ocean at Night,2019
Lucy Kruger & The Lost Boys,Summers's not That Simple,Winter,2017
Lukraaketaar,Lukraaketaar,Om te Kan,2008
Mafikizolo,Sibongile,Marabi,2002
Majozi,Mountains,Fire   ,2015
Make-Overs,MC1r on the 16th Chromosome,,2010
Make-Overs,By Natural Selection,,2011
Make-Overs,Centipede Sing-A-Long,,2012
Man As Machine,Nothing But A Thing,Sun Dogs,2011
Mango Groove,Mango Groove,Special Star,1989
Mango Groove,Hometalk,Moments Away,1990
Marcia Moon,Marcia Moon,Ek verlang,2014
Marcia Moon,Two Decades,Artist,2019
Markus Wormstorm,Figure In Field,Button Eyes,2015
Martin Rocka & The Sick Shop,"It's a Filthy Song, but Someone's Gotta Sing it",Cake,2009
Matthew Mole,Ghost ,Let Me,2019
Matthew Mole,Run,Run,2016
Matthew Mole,The Home We Built,"Take Yours, I'll Take Mine",2013
